"TIME","GEO","TRA_MEAS","UNIT","Value","Flag and Footnotes"
"1993","Belgium","Passengers carried","Thousand passengers","10,029",""
"1993","Vlaams Gewest","Passengers carried","Thousand passengers","10,029",""
"1993","Prov. Antwerpen","Passengers carried","Thousand passengers",":",""
"1993","Prov. Vlaams-Brabant","Passengers carried","Thousand passengers","10,029",""
"1993","Prov. West-Vlaanderen","Passengers carried","Thousand passengers",":",""
"1993","Région wallonne","Passengers carried","Thousand passengers",":",""
"1993","Prov. Hainaut","Passengers carried","Thousand passengers",":",""
"1993","Prov. Liège","Passengers carried","Thousand passengers",":",""
"1993","Bulgaria","Passengers carried","Thousand passengers",":",""
"1993","Severna i yugoiztochna Bulgaria","Passengers carried","Thousand passengers",":",""
"1993","Severoiztochen","Passengers carried","Thousand passengers",":",""
"1993","Yugoiztochen","Passengers carried","Thousand passengers",":",""
"1993","Yugozapadna i yuzhna tsentralna Bulgaria","Passengers carried","Thousand passengers",":",""
"1993","Yugozapaden","Passengers carried","Thousand passengers",":",""
"1993","Czech Republic","Passengers carried","Thousand passengers",":",""
"1993","Ceská republika","Passengers carried","Thousand passengers",":",""
"1993","Praha","Passengers carried","Thousand passengers",":",""
"1993","Severozápad","Passengers carried","Thousand passengers",":",""
"1993","Severovıchod","Passengers carried","Thousand passengers",":",""
"1993","Jihovıchod","Passengers carried","Thousand passengers",":",""
"1993","Moravskoslezsko","Passengers carried","Thousand passengers",":",""
"1993","Denmark","Passengers carried","Thousand passengers","9,565",""
"1993","Danmark","Passengers carried","Thousand passengers","9,565",""
"1993","Hovedstaden","Passengers carried","Thousand passengers","9,565",""
"1993","Sjælland","Passengers carried","Thousand passengers",":",""
"1993","Syddanmark","Passengers carried","Thousand passengers",":",""
"1993","Midtjylland","Passengers carried","Thousand passengers",":",""
"1993","Nordjylland","Passengers carried","Thousand passengers",":",""
"1993","Germany (until 1990 former territory of the FRG)","Passengers carried","Thousand passengers","61,471",""
"1993","Baden-Württemberg","Passengers carried","Thousand passengers","3,259",""
"1993","Stuttgart","Passengers carried","Thousand passengers","3,259",""
"1993","Karlsruhe","Passengers carried","Thousand passengers",":",""
"1993","Freiburg","Passengers carried","Thousand passengers",":",""
"1993","Tübingen","Passengers carried","Thousand passengers",":",""
"1993","Bayern","Passengers carried","Thousand passengers","8,792",""
"1993","Oberbayern","Passengers carried","Thousand passengers","7,834",""
"1993","Niederbayern","Passengers carried","Thousand passengers",":",""
"1993","Oberfranken","Passengers carried","Thousand passengers",":",""
"1993","Mittelfranken","Passengers carried","Thousand passengers","958",""
"1993","Schwaben","Passengers carried","Thousand passengers",":",""
"1993","Berlin","Passengers carried","Thousand passengers","3,015",""
"1993","Berlin","Passengers carried","Thousand passengers","3,015",""
"1993","Brandenburg","Passengers carried","Thousand passengers","1,485",""
"1993","Brandenburg","Passengers carried","Thousand passengers","1,485",""
"1993","Bremen","Passengers carried","Thousand passengers","556",""
"1993","Bremen","Passengers carried","Thousand passengers","556",""
"1993","Hamburg","Passengers carried","Thousand passengers","4,070",""
"1993","Hamburg","Passengers carried","Thousand passengers","4,070",""
"1993","Hessen","Passengers carried","Thousand passengers","25,119",""
"1993","Darmstadt","Passengers carried","Thousand passengers","25,119",""
"1993","Kassel","Passengers carried","Thousand passengers",":",""
"1993","Mecklenburg-Vorpommern","Passengers carried","Thousand passengers",":",""
"1993","Mecklenburg-Vorpommern","Passengers carried","Thousand passengers",":",""
"1993","Niedersachsen","Passengers carried","Thousand passengers","2,360",""
"1993","Braunschweig","Passengers carried","Thousand passengers",":",""
"1993","Hannover","Passengers carried","Thousand passengers","2,360",""
"1993","Weser-Ems","Passengers carried","Thousand passengers",":",""
"1993","Nordrhein-Westfalen","Passengers carried","Thousand passengers","11,624",""
"1993","Düsseldorf","Passengers carried","Thousand passengers","9,619",""
"1993","Köln","Passengers carried","Thousand passengers","1,759",""
"1993","Münster","Passengers carried","Thousand passengers","246",""
"1993","Detmold","Passengers carried","Thousand passengers",":",""
"1993","Arnsberg","Passengers carried","Thousand passengers",":",""
"1993","Rheinland-Pfalz","Passengers carried","Thousand passengers",":",""
"1993","Koblenz","Passengers carried","Thousand passengers",":",""
"1993","Trier","Passengers carried","Thousand passengers",":",""
"1993","Rheinhessen-Pfalz","Passengers carried","Thousand passengers",":",""
"1993","Saarland","Passengers carried","Thousand passengers","177",""
"1993","Saarland","Passengers carried","Thousand passengers","177",""
"1993","Sachsen","Passengers carried","Thousand passengers","898",""
"1993","Dresden","Passengers carried","Thousand passengers","268",""
"1993","Leipzig","Passengers carried","Thousand passengers","629",""
"1993","Sachsen-Anhalt","Passengers carried","Thousand passengers",":",""
"1993","Sachsen-Anhalt","Passengers carried","Thousand passengers",":",""
"1993","Schleswig-Holstein","Passengers carried","Thousand passengers",":",""
"1993","Schleswig-Holstein","Passengers carried","Thousand passengers",":",""
"1993","Thüringen","Passengers carried","Thousand passengers","115",""
"1993","Thüringen","Passengers carried","Thousand passengers","115",""
"1993","Extra-Regio NUTS 1","Passengers carried","Thousand passengers",":",""
"1993","Extra-Regio NUTS 2","Passengers carried","Thousand passengers",":",""
"1993","Estonia","Passengers carried","Thousand passengers",":",""
"1993","Eesti","Passengers carried","Thousand passengers",":",""
"1993","Eesti","Passengers carried","Thousand passengers",":",""
"1993","Ireland","Passengers carried","Thousand passengers","5,555",""
"1993","Éire/Ireland","Passengers carried","Thousand passengers","5,555",""
"1993","Border, Midland and Western","Passengers carried","Thousand passengers",":",""
"1993","Southern and Eastern","Passengers carried","Thousand passengers","5,555",""
"1993","Greece","Passengers carried","Thousand passengers","17,317",""
"1993","Voreia Ellada (NUTS 2010)","Passengers carried","Thousand passengers","1,621",""
"1993","Anatoliki Makedonia, Thraki (NUTS 2010)","Passengers carried","Thousand passengers","115",""
"1993","Kentriki Makedonia (NUTS 2010)","Passengers carried","Thousand passengers","1,292",""
"1993","Dytiki Makedonia (NUTS 2010)","Passengers carried","Thousand passengers",":",""
"1993","Thessalia (NUTS 2010)","Passengers carried","Thousand passengers","215",""
"1993","Kentriki Ellada (NUTS 2010)","Passengers carried","Thousand passengers","2,258",""
"1993","Ipeiros (NUTS 2010)","Passengers carried","Thousand passengers","0",""
"1993","Ionia Nisia (NUTS 2010)","Passengers carried","Thousand passengers","2,023",""
"1993","Dytiki Ellada (NUTS 2010)","Passengers carried","Thousand passengers","195",""
"1993","Sterea Ellada (NUTS 2010)","Passengers carried","Thousand passengers",":",""
"1993","Peloponnisos (NUTS 2010)","Passengers carried","Thousand passengers","40",""
"1993","Attiki","Passengers carried","Thousand passengers","6,530",""
"1993","Attiki","Passengers carried","Thousand passengers","6,530",""
"1993","Nisia Aigaiou, Kriti","Passengers carried","Thousand passengers","6,908",""
"1993","Voreio Aigaio","Passengers carried","Thousand passengers","444",""
"1993","Notio Aigaio","Passengers carried","Thousand passengers","3,073",""
"1993","Kriti","Passengers carried","Thousand passengers","3,391",""
"1993","Extra-Regio NUTS 1","Passengers carried","Thousand passengers",":",""
"1993","Extra-Regio NUTS 2","Passengers carried","Thousand passengers",":",""
"1993","Spain","Passengers carried","Thousand passengers","45,274",""
"1993","Noroeste (ES)","Passengers carried","Thousand passengers","222",""
"1993","Galicia","Passengers carried","Thousand passengers","195",""
"1993","Principado de Asturias","Passengers carried","Thousand passengers","24",""
"1993","Cantabria","Passengers carried","Thousand passengers","3",""
"1993","Noreste (ES)","Passengers carried","Thousand passengers","366",""
"1993","País Vasco","Passengers carried","Thousand passengers","332",""
"1993","Comunidad Foral de Navarra","Passengers carried","Thousand passengers","3",""
"1993","La Rioja","Passengers carried","Thousand passengers",":",""
"1993","Aragón","Passengers carried","Thousand passengers","31",""
"1993","Comunidad de Madrid","Passengers carried","Thousand passengers","8,553",""
"1993","Comunidad de Madrid","Passengers carried","Thousand passengers","8,553",""
"1993","Centro (ES)","Passengers carried","Thousand passengers","23",""
